Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{490CE825-381F-4CEC-85F4-260070CFD6C2},129950,2000-11-01 00:00,D,Y,F,HORSHAM,HORSHAM,WEST SUSSEX,A,A
{4CDAA86F-A1AD-4189-8AEC-1B4A9A757FA5},57000,2001-22 00:00,T,N,F,DORCHESTER,WEST DORSET,DORSET,A,A
{F030BA23-2992-4CF0-B91E-1B4AA2A79E14},46000,2001-10-22 00:00,T,N,F,SOUTHAMPTON,SOUTHAMPTON,SOUTHAMPTON,A,A
{0EBE104F-5CEE-406F-B339-1B4AD1C27DD0},42000,2001-03-29 00:00,S,N,F,CARDIFF,CARDIFF,CARDIFF,A,A
{ACCCF75B-C35E-484B-98B0-226C219A0582},48250,2001-08-28 00:00,S,N,F,BECCLES,WAVENEY,SUFFOLK,A,A
{3356D512-81E2-49DB-A873-226C26668256},73000,2002-11-27 00:00,F,N,L,CARSHALTON,SUTTON,GREATER LONDON,A,A
{092F1A14-6E00-4AF9-A07F-226C294C9CCD},26680,2002-08-30 00:00,T,N,F,HULL,CITY OF KINGSTON UPON HULL,CITY OF KINGSTON UPON HULL,A,A
{B92E1549-98C4-4FF0-8F3C-226C37D329A6},46000,2002-11-07 00:00,F,N,L,BASINGSTOKE,BASINGSTOKE AND DEANE,HAMPSHIRE,A,A
{E6556ECE-552C-43C6-BD44-226C4FCF8D9B},105000,2002-11-15 00:00,D,N,F,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,A,A
{3D5A0010-F1A3-4E57-8066-17BDA42E57C4},31950,2003-05-31 00:00,F,N,L,BEDFORD,BEDFORD,BEDFORDSHIRE,A,A
{6662BF48-B3B3-4504-924F-17BDB0D375BD},55000,2003-11-29 00:00,S,N,F,LIVERPOOL,LIVERPOOL,MERSEYSIDE,A,A
{4C59861F-C1F6-4400-A96D-17BDBCB0F1CF},33000,2003-04-30 00:00,S,N,F,DONCASTER,DONCASTER,SOUTH YORKSHIRE,A,A
{84443479-2A8E-4E62-B302-17BDC984B82A},275500,2003-07-19 00:00,D,N,F,GERRARDS CROSS,SOUTH BUCKS,BUCKINGHAMSHIRE,A,A
{4266AB8A-E323-4B56-8AB8-2600896CA3AE},44500,2003-10-11 00:00,S,N,F,IPSWICH,BABERGH,SUFFOLK,A,A
